fish.id,Strain,Sex,day,Treatment,camera,distance.from.bottom(cm),distance.from.center(cm),distance.travelled(cm),percent.explored,boldness.index,Ate_day_3,bold.median
23-295A,WIK,Female,02,Vehicle,c3,4.979641279,7.101332399,23.01639064,61.4,-0.405818989,Y,shy
23-295B,WIK,Male,01,Escitalopram,c4,6.256983374,7.942987757,42.53714431,58.8,-0.132118594,Y,bold
23-295B,WIK,Male,02,Escitalopram,c4,7.358385062,7.75185687,31.0105634,46.8,-0.132118594,Y,bold
23-295C,WIK,Male,01,Vehicle,c5,6.479898139,8.002287084,39.22240328,63.2,0.550976434,Y,bold
23-295C,WIK,Male,02,Vehicle,c5,6.565315443,8.18590109,31.34655133,53.1,0.550976434,Y,bold
23-295D,WIK,Female,01,Escitalopram,c6,7.460338781,7.565312421,27.55421647,51.1,0.638002603,Y,bold
23-295D,WIK,Female,02,Escitalopram,c6,8.415167988,7.484205192,22.46969586,50.2,0.638002603,Y,bold
23-296A,WIK,Male,01,Vehicle,c3,4.391617553,6.613543338,25.89735804,64.1,-0.82667018,Y,shy
23-296A,WIK,Male,02,Vehicle,c3,5.564231407,7.098138181,25.87595503,54.3,-0.82667018,Y,shy
23-296B,WIK,Female,01,Escitalopram,c4,3.506596285,5.74110875,20.60765469,59.1,-0.676021681,Y,shy
23-296B,WIK,Female,02,Escitalopram,c4,5.870264737,7.580139997,26.78539534,47.8,-0.676021681,Y,shy
23-296C,WIK,Female,01,Vehicle,c5,4.931347061,7.439568115,28.63711439,64,0.743511041,Y,bold
23-296C,WIK,Female,02,Vehicle,c5,7.148461071,7.84856755,37.31138782,63.8,0.743511041,Y,bold
23-296D,WIK,Male,01,Escitalopram,c6,5.652318776,7.645285579,43.15233328,65.4,0.224787763,Y,bold
23-296D,WIK,Male,02,Escitalopram,c6,6.735022234,7.969526281,36.33831583,54.6,0.224787763,Y,bold
23-297C,WIK,Male,01,Escitalopram,c5,6.364366149,8.061413749,41.11451412,58.2,-0.12729427,Y,bold
23-297C,WIK,Male,02,Escitalopram,c5,6.704297796,7.461941324,29.98526031,54.1,-0.12729427,Y,bold
23-297D,WIK,Female,01,Vehicle,c6,2.003508619,5.817641867,30.0974774,45.6,-3.186201165,Y,shy
23-297D,WIK,Female,02,Vehicle,c6,2.883998357,4.762081556,18.60124261,48.8,-3.186201165,Y,shy
23-298A,WIK,Male,01,Escitalopram,c4,4.355815818,5.206957508,26.12450533,70.1,-0.13678732,Y,shy
23-298A,WIK,Male,02,Escitalopram,c4,6.42492058,6.271424412,27.74584368,72.8,-0.13678732,Y,shy
23-298B,WIK,Female,01,Vehicle,c3,3.227449345,6.279044761,19.63825318,58.1,-0.959003277,Y,shy
23-298B,WIK,Female,02,Vehicle,c3,6.826600966,7.365223663,28.12061491,57.8,-0.959003277,Y,shy
23-298C,WIK,Female,01,Escitalopram,c5,3.723072694,7.070743133,19.29215166,49.4,-1.72988564,Y,shy
