fish.id,Strain,Sex,day,camera,distance.from.bottom(cm),distance.from.center(cm),distance.travelled(cm),percent.explored,boldness.index,NE(ng/mg),DOPAC(ng/mg),DA(ng/mg),5HIAA(ng/mg),5HT(ng/mg),5HIAA:5HT,DOPAC:DA
22-418C,WIK,F,01,c5,4.105540803,6.135042515,24.01993262,67.7,-1.199087722,0.481564121,0.06924713,0.225133152,0.009559493,0.225792314,0.042337548,0.307582999
22-418C,WIK,F,02,c5,6.333867798,6.079712951,27.06172592,76.8,0.281501316,0.481564121,0.06924713,0.225133152,0.009559493,0.225792314,0.042337548,0.307582999
22-418C,WIK,F,03,c5,6.413458181,7.097707131,33.84940133,68.8,0.009315527,0.481564121,0.06924713,0.225133152,0.009559493,0.225792314,0.042337548,0.307582999
22-419B,WIK,M,01,c5,7.548294468,6.785647921,40.13644699,73.5,0.58015874,0.820979526,0.149167312,0.339330944,0.036580121,0.303124008,0.120677083,0.439592423
22-419B,WIK,M,02,c5,5.247050821,5.992770728,31.34068853,72.5,-0.777946482,0.820979526,0.149167312,0.339330944,0.036580121,0.303124008,0.120677083,0.439592423
22-419B,WIK,M,03,c5,6.191056481,7.132575094,32.46029854,70.9,-0.020395785,0.820979526,0.149167312,0.339330944,0.036580121,0.303124008,0.120677083,0.439592423
22-419C,WIK,M,01,c5,5.235640151,4.325491575,35.18925216,61.3,-1.366290394,0.743242747,0.106527582,0.352537985,0.053146495,NA,NA,0.302173345
22-419C,WIK,M,02,c5,6.157052949,5.217144092,35.70941591,71.8,-0.325441122,0.743242747,0.106527582,0.352537985,0.053146495,NA,NA,0.302173345
22-419C,WIK,M,03,c5,6.06680895,6.038168221,35.0999243,75.8,0.334104936,0.743242747,0.106527582,0.352537985,0.053146495,NA,NA,0.302173345
22-448A,WIK,F,01,c5,3.540291977,4.987096858,40.4295395,68.8,-1.408198263,0.821790742,0.125192508,0.298003578,0.038788384,0.261938039,0.148082288,0.420104043
22-448A,WIK,F,02,c5,0.166961273,6.025098561,6.055785699,0.2,-7.794560439,0.821790742,0.125192508,0.298003578,0.038788384,0.261938039,0.148082288,0.420104043
22-448A,WIK,F,03,c5,0.797405409,3.612157772,8.423982655,14.6,-6.251532749,0.821790742,0.125192508,0.298003578,0.038788384,0.261938039,0.148082288,0.420104043
22-448B,WIK,M,01,c5,3.869063257,5.681334158,31.71081082,74.2,-1.18640581,0.74521121,0.136414903,0.404697615,0.05128785,0.320996056,0.159777197,0.337078594
22-448B,WIK,M,02,c5,3.559239284,5.613162921,25.23541341,63.2,-2.747548888,0.74521121,0.136414903,0.404697615,0.05128785,0.320996056,0.159777197,0.337078594
22-448B,WIK,M,03,c5,4.194989556,5.530992299,25.149415,63.8,-1.826944554,0.74521121,0.136414903,0.404697615,0.05128785,0.320996056,0.159777197,0.337078594
22-448C,WIK,M,01,c5,10.13304421,2.86786437,23.19727035,30.1,-1.016839392,0.718740122,0.14168319,0.411113776,0.059552442,0.364878118,0.163211876,0.344632553
22-448C,WIK,M,02,c5,5.878654827,5.56196021,26.97050129,80.7,0.462481623,0.718740122,0.14168319,0.411113776,0.059552442,0.364878118,0.163211876,0.344632553
22-448C,WIK,M,03,c5,5.670850096,5.44740477,23.30149991,74.9,0.020183144,0.718740122,0.14168319,0.411113776,0.059552442,0.364878118,0.163211876,0.344632553
22-449A,WIK,M,01,c5,8.304365922,6.816746833,40.49690221,81.1,1.455379258,0.994884387,0.174434734,0.410342533,0.07645115,0.393364026,0.194352165,0.425095426
22-449A,WIK,M,02,c5,6.944263215,5.329498534,32.35939594,80.4,1.047789781,0.994884387,0.174434734,0.410342533,0.07645115,0.393364026,0.194352165,0.425095426
22-449A,WIK,M,03,c5,8.375488164,4.043241428,21.97511063,53,-0.287239247,0.994884387,0.174434734,0.410342533,0.07645115,0.393364026,0.194352165,0.425095426
22-449B,WIK,F,01,c5,9.175212437,3.31310912,28.80348287,35.7,-0.578686469,0.528826367,0.090849549,0.271085564,0.016178817,0.219202361,0.073807677,0.335132375
22-449B,WIK,F,02,c5,7.261642092,5.778235482,23.24757618,73.1,0.513690122,0.528826367,0.090849549,0.271085564,0.016178817,0.219202361,0.073807677,0.335132375
22-449B,WIK,F,03,c5,10.63179946,5.268637507,11.94755077,50.6,0.952438345,0.528826367,0.090849549,0.271085564,0.016178817,0.219202361,0.073807677,0.335132375
22-450A,WIK,F,01,c5,5.889027018,4.013537202,35.65119346,65.1,-0.489922629,0.431127282,0.109198501,0.191450746,0.02083557,0.141632052,0.147110557,0.57037386
22-450A,WIK,F,02,c5,5.787360208,4.619049721,30.07814089,61.2,-1.003049,0.431127282,0.109198501,0.191450746,0.02083557,0.141632052,0.147110557,0.57037386
22-450A,WIK,F,03,c5,6.524974778,5.571216419,33.92779567,74.8,0.447857759,0.431127282,0.109198501,0.191450746,0.02083557,0.141632052,0.147110557,0.57037386
22-450B,WIK,M,01,c5,8.037078699,5.092939922,31.72972089,78.5,1.151708869,0.595248896,0.137674669,0.289568542,0.049958317,0.33483029,0.149204891,0.475447602
22-450B,WIK,M,02,c5,6.176859078,6.406613742,26.02736946,78.5,0.40059722,0.595248896,0.137674669,0.289568542,0.049958317,0.33483029,0.149204891,0.475447602
22-450B,WIK,M,03,c5,6.275998602,6.82626594,27.94844863,72.6,0.178671586,0.595248896,0.137674669,0.289568542,0.049958317,0.33483029,0.149204891,0.475447602
22-451A,WIK,M,01,c5,7.823369293,4.387802461,32.60992435,67.6,0.325456036,0.606963062,0.19290893,0.276909405,0.05506046,0.211214244,0.260685354,0.696649975
22-451A,WIK,M,02,c5,4.971025697,4.674702135,33.74385875,67.7,-1.449773929,0.606963062,0.19290893,0.276909405,0.05506046,0.211214244,0.260685354,0.696649975
22-451A,WIK,M,03,c5,5.073108593,5.282323505,35.16065486,76.1,-0.230058011,0.606963062,0.19290893,0.276909405,0.05506046,0.211214244,0.260685354,0.696649975
22-451C,WIK,F,01,c5,7.810771376,4.468052997,25.53115965,66.6,0.518132769,0.612653081,0.120053971,0.286000974,0.015442404,0.266551264,0.057934087,0.4197677
22-451C,WIK,F,02,c5,5.062668239,4.948791547,27.00255095,73.2,-0.596311763,0.612653081,0.120053971,0.286000974,0.015442404,0.266551264,0.057934087,0.4197677
22-451C,WIK,F,03,c5,4.553108652,7.496481319,20.4224621,57.3,-1.652744533,0.612653081,0.120053971,0.286000974,0.015442404,0.266551264,0.057934087,0.4197677
22-451D,WIK,M,01,c5,10.46490615,3.379637927,25.91736211,36.8,-0.410167383,0.434840094,0.124930048,0.240887714,0.041529483,0.189220095,0.219477128,0.518623577
22-451D,WIK,M,02,c5,7.682529237,5.54816616,34.30012166,84.1,1.870075334,0.434840094,0.124930048,0.240887714,0.041529483,0.189220095,0.219477128,0.518623577
22-451D,WIK,M,03,c5,7.129084901,5.896367826,33.78650306,78.3,1.183764851,0.434840094,0.124930048,0.240887714,0.041529483,0.189220095,0.219477128,0.518623577
22-468A,WIK,F,01,c5,7.09185902,5.020168067,18.31952374,62.6,-0.05397106,0.657754609,0.083231685,0.28016558,0.0310885,0.363465932,0.085533463,0.297080337
22-468A,WIK,F,02,c5,8.184945753,5.276350641,19.89944336,74.4,1.06639079,0.657754609,0.083231685,0.28016558,0.0310885,0.363465932,0.085533463,0.297080337
22-468A,WIK,F,03,c5,7.536934571,6.745548511,24.75520919,66.5,0.423056412,0.657754609,0.083231685,0.28016558,0.0310885,0.363465932,0.085533463,0.297080337
22-468C,WIK,M,01,c5,5.712852462,6.851270682,36.14564878,77.2,-0.079490092,0.621369435,0.165576936,0.291742375,0.040193496,0.185240485,0.216980084,0.567545034
22-468C,WIK,M,02,c5,4.869320433,5.403759997,33.49289416,69.4,-1.327384004,0.621369435,0.165576936,0.291742375,0.040193496,0.185240485,0.216980084,0.567545034
22-468C,WIK,M,03,c5,5.185153617,5.420485259,35.38156078,75.6,-0.207194872,0.621369435,0.165576936,0.291742375,0.040193496,0.185240485,0.216980084,0.567545034
22-468D,WIK,F,01,c6,9.307106484,6.592372348,36.65653848,64.1,1.095051704,0.469599138,0.093915604,0.22043852,0.016526644,0.187344457,0.088215281,0.426039895
22-468D,WIK,F,02,c6,8.774396574,7.132337447,35.43232584,67.1,0.894404035,0.469599138,0.093915604,0.22043852,0.016526644,0.187344457,0.088215281,0.426039895
22-468D,WIK,F,03,c6,8.804621983,7.075686659,34.10802629,71.8,1.393759253,0.469599138,0.093915604,0.22043852,0.016526644,0.187344457,0.088215281,0.426039895
22-469A,WIK,M,01,c5,7.370382168,6.364541005,30.85700427,77.6,0.763679953,0.695284892,0.129582117,0.289147495,0.023809882,0.282104915,0.084400805,0.448152307
22-469A,WIK,M,02,c5,6.416584097,7.125504457,30.24504069,61.7,-1.252275185,0.695284892,0.129582117,0.289147495,0.023809882,0.282104915,0.084400805,0.448152307
22-469A,WIK,M,03,c5,7.87136469,7.030136124,34.55736644,59.4,-0.027315681,0.695284892,0.129582117,0.289147495,0.023809882,0.282104915,0.084400805,0.448152307
22-469B,WIK,F,01,c6,6.868492896,4.40296064,16.10843687,57.1,-0.47312354,0.74898684,0.087310598,0.334555408,0.024490914,0.416723427,0.058770188,0.260975001
22-469B,WIK,F,02,c6,9.610621462,4.663512598,14.68380212,53.5,0.441003876,0.74898684,0.087310598,0.334555408,0.024490914,0.416723427,0.058770188,0.260975001
22-469B,WIK,F,03,c6,11.73103732,4.650746328,8.053050438,12.5,-0.93057878,0.74898684,0.087310598,0.334555408,0.024490914,0.416723427,0.058770188,0.260975001
22-469C,WIK,F,01,c5,6.289155074,6.479852066,21.96848031,68.9,-0.082269314,0.665412139,0.090699157,0.236417808,0.014064826,0.155082215,0.090692708,0.383639277
22-469C,WIK,F,02,c5,7.565724029,7.35376148,26.85768386,60.8,-0.125965092,0.665412139,0.090699157,0.236417808,0.014064826,0.155082215,0.090692708,0.383639277
22-469C,WIK,F,03,c5,7.932522868,6.99083914,27.13201896,67.2,0.665094207,0.665412139,0.090699157,0.236417808,0.014064826,0.155082215,0.090692708,0.383639277
22-469D,WIK,M,01,c6,9.431211952,5.930512905,33.6565792,63.7,0.859731573,0.626087713,0.154652842,0.289572955,0.033236084,0.223404517,0.148770868,0.53407212
22-469D,WIK,M,02,c6,9.058193561,5.22237298,24.96453819,67.2,0.864583855,0.626087713,0.154652842,0.289572955,0.033236084,0.223404517,0.148770868,0.53407212
22-469D,WIK,M,03,c6,4.145169844,5.221375029,48.70455253,69.8,-1.332070644,0.626087713,0.154652842,0.289572955,0.033236084,0.223404517,0.148770868,0.53407212
22-470B,WIK,M,01,c6,5.525043917,6.182428047,30.8853201,72.5,-0.482898033,0.60186571,0.137458787,0.293769408,0.047350358,0.252211658,0.18774056,0.467913892
22-470B,WIK,M,02,c6,7.27800605,6.706929482,31.34285911,69.7,0.099955445,0.60186571,0.137458787,0.293769408,0.047350358,0.252211658,0.18774056,0.467913892
22-470B,WIK,M,03,c6,7.046150151,6.186241566,26.00962621,69.7,0.382745862,0.60186571,0.137458787,0.293769408,0.047350358,0.252211658,0.18774056,0.467913892
22-470C,WIK,M,01,c5,7.186602077,5.3003538,34.32759329,77,0.633440727,0.633510505,0.118075881,0.278086593,0.036566035,0.211041766,0.173264448,0.424601128
22-470C,WIK,M,02,c5,7.963847448,5.734122585,28.46819475,78,1.382468246,0.633510505,0.118075881,0.278086593,0.036566035,0.211041766,0.173264448,0.424601128
22-470C,WIK,M,03,c5,7.551232718,6.711510615,26.64723025,64.5,0.228286775,0.633510505,0.118075881,0.278086593,0.036566035,0.211041766,0.173264448,0.424601128
22-470D,WIK,F,01,c6,5.312784373,5.614605473,28.91333322,72.3,-0.358419699,0.388409516,0.075687974,0.178040499,0.017486264,0.11247374,0.155469748,0.425116613
22-470D,WIK,F,02,c6,5.082991924,6.203866492,25.84661544,65.1,-1.108899397,0.388409516,0.075687974,0.178040499,0.017486264,0.11247374,0.155469748,0.425116613
22-470D,WIK,F,03,c6,7.083410375,5.408299117,24.90547336,75.5,0.771142778,0.388409516,0.075687974,0.178040499,0.017486264,0.11247374,0.155469748,0.425116613
22-471A,WIK,M,01,c5,8.398294857,6.70678932,33.3962299,80.1,1.435518391,0.559463876,0.120077428,0.281788921,0.046619717,0.238139059,0.195766781,0.42612544
22-471A,WIK,M,02,c5,8.889807234,7.515073052,32.36716874,60.4,0.041808327,0.559463876,0.120077428,0.281788921,0.046619717,0.238139059,0.195766781,0.42612544
22-471A,WIK,M,03,c5,8.918929555,7.22260765,33.59020822,63.9,0.988428367,0.559463876,0.120077428,0.281788921,0.046619717,0.238139059,0.195766781,0.42612544
22-471B,WIK,F,01,c6,3.966927331,5.761954641,26.28293381,71.6,-1.044517579,0.539773364,0.108407236,0.242444348,0.03040194,0.242080075,0.125586296,0.447142764
22-471B,WIK,F,02,c6,5.056379674,5.373305901,26.08123674,71.1,-0.735072884,0.539773364,0.108407236,0.242444348,0.03040194,0.242080075,0.125586296,0.447142764
22-471B,WIK,F,03,c6,5.086481045,5.796641755,28.66827214,77.2,-0.116668767,0.539773364,0.108407236,0.242444348,0.03040194,0.242080075,0.125586296,0.447142764
22-472B,WIK,M,01,c6,5.448891581,6.533735552,35.49771379,78,-0.156637387,0.63053583,0.172162131,0.323294214,0.074707685,0.294711154,0.253494596,0.532524628
22-472B,WIK,M,02,c6,4.18236559,4.537404235,30.24618183,53.3,-3.442423128,0.63053583,0.172162131,0.323294214,0.074707685,0.294711154,0.253494596,0.532524628
22-472B,WIK,M,03,c6,5.85492526,4.014422132,20.29210511,61.3,-1.059258456,0.63053583,0.172162131,0.323294214,0.074707685,0.294711154,0.253494596,0.532524628
22-472C,WIK,M,01,c5,4.954795921,6.189227397,35.50459299,70.8,-0.876317858,0.545098821,0.078145173,0.253625635,0.036752544,0.195644782,0.187853433,0.308112281
22-472C,WIK,M,02,c5,4.507822631,5.633433627,33.24674657,71,-1.366156226,0.545098821,0.078145173,0.253625635,0.036752544,0.195644782,0.187853433,0.308112281
22-472C,WIK,M,03,c5,4.297299338,4.587818022,32.08183463,53.7,-2.649022634,0.545098821,0.078145173,0.253625635,0.036752544,0.195644782,0.187853433,0.308112281
22-558D,WIK,F,01,c4,9.577467071,3.759040171,23.70445233,39.2,-0.18702294,0.535015025,0.086269337,0.243549469,0.02296358,0.230208787,0.099751101,0.354216896
